reference,read_count
A0A059WX84|UNREVIEWED|DIHYDROFOLATE,2
A0A353L0I7|UNREVIEWED|DIHYDROFOLATE,2
A0A2D5YIH5|UNREVIEWED|DIHYDROFOLATE,2
A0A2S2CNT6_9PROT,2
A0A501PBX5_9PROT,2
2632148530,2
A0A7S9Z8Q6|UNREVIEWED|DIHYDROFOLATE,2
A0A350R0L9|UNREVIEWED|DIHYDROFOLATE,2
A0A7D6CS37|UNREVIEWED|DIHYDROFOLATE,2
A0A373S573|UNREVIEWED|DIHYDROFOLATE,2
A0A1B4XX05_9CAUD,2
A8RBH0_9FIRM,2
P0ABQ4_folA_esm1b-from-right_v2~cp2,2
A0A5R8KHJ3_9BACT,2
A0A1M6VTH2|UNREVIEWED|DIHYDROFOLATE,2
2642774277,2
A0A0M4HFU7|UNREVIEWED|DIHYDROFOLATE,2
A0A7X5FDC2|UNREVIEWED|DIHYDROFOLATE,2
A0A1I2AI36_9FIRM,2
A0A3M2AL62|UNREVIEWED|DIHYDROFOLATE,2
A0A3L7JYJ1_9BACI,2
A0A7X7G8X8|UNREVIEWED|DIHYDROFOLATE,2
2887563143,2
V9TWF1_9PROT,2
A0A4Q3PK31|UNREVIEWED|DIHYDROFOLATE,2
A0A4D7CQU5_9ENTE,2
A0A059XDP3|UNREVIEWED|DIHYDROFOLATE,2
E9US16|UNREVIEWED|DIHYDROFOLATE,2
A0A812V6N0|UNREVIEWED|DIHYDROFOLATE,2
2523777741,2
A0A1F7G8L4|UNREVIEWED|DIHYDROFOLATE,2
2523304867,2
A0A2D6MJG5|UNREVIEWED|DIHYDROFOLATE,2
A0A1I4S8H6_9BURK,2
A0A1L3GGB2_PELAE,2
A0A2E2NLP9|UNREVIEWED|DIHYDROFOLATE,2
2891034554,2
A0A448YS85_BRENA,2
A0A8B7KVE3|UNREVIEWED|DIHYDROFOLATE,2
2616868408,2
A0A536ZIB0|UNREVIEWED|DIHYDROFOLATE,2
M7AXP5_CHEMY,2
2935962149,2
2820068791,2
2838789483,2
A0A8B7NCY9|UNREVIEWED|DIHYDROFOLATE,2
2525881980,2
A0A8D7ZTE3|UNREVIEWED|DIHYDROFOLATE,2
2800545726,2
A0A2E6SQY7|UNREVIEWED|DIHYDROFOLATE,2
A0A1V5VW57|UNREVIEWED|DIHYDROFOLATE,2
H0BU54|UNREVIEWED|DIHYDROFOLATE,2
A0A447SUX1|UNREVIEWED|DIHYDROFOLATE,2
A0A2W4ZXS1|UNREVIEWED|DIHYDROFOLATE,2
2928294862,2
A0A1F8SSC8|UNREVIEWED|DIHYDROFOLATE,2
A0A7X8VZX7|UNREVIEWED|DIHYDROFOLATE,2
P0ABQ4_A26T~cp7,2
H1HLU9_9BACT,2
A0A8A2UWX8|UNREVIEWED|DIHYDROFOLATE,2
A0A5C9EV15|UNREVIEWED|DIHYDROFOLATE,2
A0A8E6CI35|UNREVIEWED|DIHYDROFOLATE,2
A0A4R2PSH6_RHOSA,2
2906784792,2
2806827353,2
A0A1G7DC53|UNREVIEWED|DIHYDROFOLATE,2
A0A059X6K1|UNREVIEWED|DIHYDROFOLATE,2
A0A7L6N2G9|UNREVIEWED|DIHYDROFOLATE,2
A0A2T0MJN9_9FLAO,2
A0A4R3MR75_9GAMM,2
A0A1G5FYX2_9DELT,2
A0A4P6YWK4_9LACO,2
J3TGI3_9ENTR,2
2831863223,2
2672575168,2
A0A2N5MKS3_9BACI,2
A0A3M1J673|UNREVIEWED|DIHYDROFOLATE,2
2684616595,2
2828510914,2
A0A095XM74_9FIRM,2
2775479276,2
A0A7C7L562|UNREVIEWED|DIHYDROFOLATE,2
A0A369CH73_9GAMM,2
A0A0G0CF70|UNREVIEWED|DIHYDROFOLATE,2
A0A059XFT0|UNREVIEWED|DIHYDROFOLATE,2
A0A288GVZ0|UNREVIEWED|DIHYDROFOLATE,2
A0A2E7ZXR2|UNREVIEWED|DIHYDROFOLATE,2
A0A1H5XAV3_9BRAD,2
2784232699,2
A0A098BZ58_9BACT,2
A0A059X965|UNREVIEWED|DIHYDROFOLATE,2
A0A840A0Z2|UNREVIEWED|DIHYDROFOLATE,2
2928412708,2
2894446519,2
A0A3N9PAP8|UNREVIEWED|DIHYDROFOLATE,2
A0A2H0KA74|UNREVIEWED|DIHYDROFOLATE,2
2574186158,2
A0A7D7ZMT1|UNREVIEWED|DIHYDROFOLATE,2
A0A1G8DW69_9BACI,2
A0A7X5CYQ5|UNREVIEWED|DIHYDROFOLATE,2
A0A8F6DVF7|UNREVIEWED|DIHYDROFOLATE,2
A0A371B5C1_9SPHN,2
A0A3B0TFS5|UNREVIEWED|DIHYDROFOLATE,2
A0A7Y4Y542|UNREVIEWED|DIHYDROFOLATE,2
A0A7T9EV24|UNREVIEWED|DIHYDROFOLATE,2
A0A496KA99|UNREVIEWED|DIHYDROFOLATE,2
A0A0J1FT23_9BURK,2
A0A1F7BS07|UNREVIEWED|DIHYDROFOLATE,2
2710497880,2
A0A316H1T9|UNREVIEWED|DIHYDROFOLATE,2
A0A7X7CZ76|UNREVIEWED|DIHYDROFOLATE,2
A0A2E1KVT1|UNREVIEWED|DIHYDROFOLATE,2
A0A1X1UWK9|UNREVIEWED|DIHYDROFOLATE,2
A0A3N5ZK08|UNREVIEWED|DIHYDROFOLATE,2
A0A6C0LFJ0|UNREVIEWED|DIHYDROFOLATE,2
2717848616,2
A0A532T3N6|UNREVIEWED|DIHYDROFOLATE,2
2795406346,2
A0A6G7TN00|UNREVIEWED|DIHYDROFOLATE,2
A0A7K3VXX3|UNREVIEWED|DIHYDROFOLATE,2
2799133280,2
2758136394,2
P0ABQ4_folA_esm1b-mask-all_v2~cp3,2
A0A162Q317|UNREVIEWED|DIHYDROFOLATE,2
H3EJE5_PRIPA,2
A0A4U0FGX8_9BACL,2
A0A2G6D0G4|UNREVIEWED|DIHYDROFOLATE,2
A0A7X6S262|UNREVIEWED|DIHYDROFOLATE,2
A0A1H9RWK4_9LACT,2
A0A1X7JX92|UNREVIEWED|DIHYDROFOLATE,2
2710275419,2
A0A6B3WB20|UNREVIEWED|DIHYDROFOLATE,2
2839789836,2
A0A099BUW8_9BACT,2
2582624013,2
A6M379~cp1,2
E3PVD8_ACESD,2
A0A1B2IBQ4|UNREVIEWED|DIHYDROFOLATE,2
A0A6G8J801|UNREVIEWED|DIHYDROFOLATE,2
2627337552,2
A0A6I3JEL1_9ACTN,2
A0A7Y8N608|UNREVIEWED|DIHYDROFOLATE,2
A0A3C0BIF6|UNREVIEWED|DIHYDROFOLATE,2
A0A2E0TLR8|UNREVIEWED|DIHYDROFOLATE,2
A0A3S0FYA0|UNREVIEWED|DIHYDROFOLATE,2
A0A3B8PZI5|UNREVIEWED|DIHYDROFOLATE,2
2885688979,2
2524953501,2
A0A2E1ZH83|UNREVIEWED|DIHYDROFOLATE,2
A0A7Y6Y258|UNREVIEWED|DIHYDROFOLATE,2
W6M1W4_9GAMM,2
A0A420WHA1|UNREVIEWED|DIHYDROFOLATE,2
A0A3M8LPR0_9MICO,2
2848344029,2
2619976302,2
A0A2E1W5V3|UNREVIEWED|DIHYDROFOLATE,2
A0A1W9VK21|UNREVIEWED|DIHYDROFOLATE,1
A0A3N2DHI0_9GAMM,1
A0A3D9AUX2|UNREVIEWED|DIHYDROFOLATE,1
A0A5C8B975|UNREVIEWED|DIHYDROFOLATE,1
A0A4V1LFJ8_9LACO,1
2562059844,1
A0A7X6VQI5|UNREVIEWED|DIHYDROFOLATE,1
A0A1V5FWR0|UNREVIEWED|DIHYDROFOLATE,1
2753066563,1
A0A1Y3Y3S7_9ACTN,1
A0A4R6U1P1_9GAMM,1
A0A1D8SE32~cp1,1
2800808264,1
A0A7V3UDJ8|UNREVIEWED|DIHYDROFOLATE,1
B1ZSC9_OPITP,1
A0A838VCV4|UNREVIEWED|DIHYDROFOLATE,1
2717851820,1
A0A512BLJ6_9RHIZ,1
A0A2D7TB28|UNREVIEWED|DIHYDROFOLATE,1
A0A8C3USG7|UNREVIEWED|UNCHARACTERIZED,1
A0A3M0WU86|UNREVIEWED|DIHYDROFOLATE,1
A0A5C9BQS0|UNREVIEWED|DIHYDROFOLATE,1
A0A059XD63|UNREVIEWED|DIHYDROFOLATE,1
P0ABQ4_folA_esm1b-mask-all_v2~cp6,1
A0A0G0JSX8|UNREVIEWED|DIHYDROFOLATE,1
A0A6G9PY02|UNREVIEWED|DIHYDROFOLATE,1
2752648714,1
A0A258LJI6|UNREVIEWED|DIHYDROFOLATE,1
A0A1B1SBZ2_9BACT,1
A0A2D5N6F5|UNREVIEWED|DIHYDROFOLATE,1
2619945418,1
A0A448KK96|UNREVIEWED|DIHYDROFOLATE,1
2788961960,1
2886535765,1
A0A059XC63|UNREVIEWED|DIHYDROFOLATE,1
2884880677,1
A0A5D0W565|UNREVIEWED|DIHYDROFOLATE,1
A0A7V7AA53|UNREVIEWED|DIHYDROFOLATE,1
P0ABQ4_folA_esm1b-mcmc_v2~cp4,1
A0A2D7V388|UNREVIEWED|DIHYDROFOLATE,1
A0A059X3X0|UNREVIEWED|DIHYDROFOLATE,1
A0A8E8EUZ5|UNREVIEWED|DIHYDROFOLATE,1
A0A059X5K8|UNREVIEWED|DIHYDROFOLATE,1
A0A0X8PQB6|UNREVIEWED|DIHYDROFOLATE,1
