reference,read_count
A0A1F7QP51|UNREVIEWED|DIHYDROFOLATE,8
A0A0H3GZX6_KLEPH,8
A0A1J4X9U7|UNREVIEWED|DIHYDROFOLATE,5
H5TK91|UNREVIEWED|DIHYDROFOLATE,5
2582740185,5
A0A1Y2KWU6|UNREVIEWED|DIHYDROFOLATE,5
A0A1M5SQS7_9FIRM,5
A0A4Y6KW50|UNREVIEWED|DIHYDROFOLATE,5
2701812350,5
A0A2A5CIF6|UNREVIEWED|DIHYDROFOLATE,5
P0ABQ4_folA_esm1b-mcmc_v2~cp5,5
A0A7T5ER77|UNREVIEWED|DIHYDROFOLATE,5
A0A5C6HRH5_9BACT,5
A0A2E4B207|UNREVIEWED|DIHYDROFOLATE,5
2562006085,5
A0A2E0YP37|UNREVIEWED|DIHYDROFOLATE,4
A0A1F1LQJ7|UNREVIEWED|DIHYDROFOLATE,4
2515296171,4
2628857901,4
2886639628,4
A0A0M6W802|UNREVIEWED|DIHYDROFOLATE,4
D3TQQ1|UNREVIEWED|DIHYDROFOLATE,4
I3Y7M8_THIV6,4
A0A7W8D3I3|UNREVIEWED|DIHYDROFOLATE,4
A0A7W4EVE2|UNREVIEWED|DIHYDROFOLATE,4
A0A2T4MZZ3|UNREVIEWED|DIHYDROFOLATE,4
2883990694,4
A0A1H3HZ77_9EURY,4
A0A2N1Q3J5|UNREVIEWED|DIHYDROFOLATE,4
A0A556PXH0_9BACI,4
Q6KIQ5_MYCMO,4
2820039110,4
R7LHD4_9BACT,4
A0A2T7HDF8|UNREVIEWED|DIHYDROFOLATE,4
645962257,4
A0A7C4JW93|UNREVIEWED|DIHYDROFOLATE,4
A0A2D6YC12|UNREVIEWED|DIHYDROFOLATE,4
A0A7X8DTG6|UNREVIEWED|DIHYDROFOLATE,3
A0A840R1G0|UNREVIEWED|DIHYDROFOLATE,3
A0A0G2Z5H8_9BACT,3
2801011001,3
A0A829R6N2|UNREVIEWED|DIHYDROFOLATE,3
A0A3L7VBY3|UNREVIEWED|DIHYDROFOLATE,3
A0A0M4M652|UNREVIEWED|DIHYDROFOLATE,3
2628136530,3
P0ABQ4_F153L~cp1,3
A6M379~cp1,3
P0ABQ4_S138Y~cp3,3
A0A059XD42|UNREVIEWED|DIHYDROFOLATE,3
A0A1B3SL39_9MOLU,3
A0A1F4XJ54|UNREVIEWED|DIHYDROFOLATE,3
A0A2H5XXX4_9BACT,3
2716553291,3
2713011296,3
A0A1M4T8Y2_9BACT,3
A0A2N0WQM2_9GAMM,3
A0A2S5AID9_9PAST,3
A0A254R104_9RHOB,3
Q6WEA2|UNREVIEWED|DIHYDROFOLATE,3
2801081886,3
A0A0W8E2S6|UNREVIEWED|DIHYDROFOLATE,3
2799721311,3
2637671685,3
A0A2E7ED98|UNREVIEWED|DIHYDROFOLATE,3
R6DK41_9CLOT,3
A0A1I1JJ30_9BACT,3
P0ABQ4_T113V.E120P.S138Y~cp2,3
P0ABQ4_W30C~cp5,3
2800973950,3
A0A5Q3HHN1|UNREVIEWED|DIHYDROFOLATE,3
F2U1R1_SALR5,3
A0A8A1Q334|UNREVIEWED|DIHYDROFOLATE,3
K1ZZV7|UNREVIEWED|DIHYDROFOLATE,3
A0A352TS45|UNREVIEWED|DIHYDROFOLATE,3
A0A0X8FJZ9_9LACT,3
A0A7X9XG42|UNREVIEWED|DIHYDROFOLATE,3
A0A3G2L3K5_9FLAO,3
A0A3T0RNY3|UNREVIEWED|DIHYDROFOLATE,3
A0A349X2F1|UNREVIEWED|DIHYDROFOLATE,3
2829261430,3
A0A1F5JFT7|UNREVIEWED|DIHYDROFOLATE,3
A0A849HHI2|UNREVIEWED|DIHYDROFOLATE,2
2939722194,2
A0A2H0JWZ7|UNREVIEWED|DIHYDROFOLATE,2
A0A2M6P1T2|UNREVIEWED|DIHYDROFOLATE,2
A0A1G1WDQ9|UNREVIEWED|DIHYDROFOLATE,2
A0A4Q2LLF5_9BACL,2
A0A1J5KJ52|UNREVIEWED|DIHYDROFOLATE,2
A0A2E7VLV3|UNREVIEWED|DIHYDROFOLATE,2
P0ABQ4_folA_WT_v1~cp2,2
2515435748,2
2836797323,2
B0VHY5_CLOAI,2
A0A1L3GQ51_9DELT,2
A0A5B6T938|UNREVIEWED|DIHYDROFOLATE,2
A0A3D3G867|UNREVIEWED|DIHYDROFOLATE,2
A0A1V8NCK2_9BACT,2
A0A0X3UTW6_9ACTN,2
A0A0R2V8T4|UNREVIEWED|DIHYDROFOLATE,2
A0A6G7KCC7|UNREVIEWED|DIHYDROFOLATE,2
2800972591,2
R6GIF4_9FIRM,2
A0A0G1XZ70|UNREVIEWED|DIHYDROFOLATE,2
U1P638_9EURY,2
P0ABQ4_M42F.G121V~cp3,2
A0A3B8QNY7|UNREVIEWED|DIHYDROFOLATE,2
A0A2N1YP15|UNREVIEWED|DIHYDROFOLATE,2
A0A1V5GAM0|UNREVIEWED|DIHYDROFOLATE,2
2705607145,2
A0A2D5HQ18|UNREVIEWED|DIHYDROFOLATE,2
A0A5D0SG94_9BACT,2
U1GTD3_TRESO,2
A0A1A9WAM5|UNREVIEWED|DIHYDROFOLATE,2
2556978360,2
A0A0J1FT23_9BURK,2
DYR_BUCBP,2
2524260515,2
